"Name","SI","Handles","VM","WS","PM","NPM","Path","CommandLine","Parent","Company","CPU","FileVersion","ProductVersion","Description","Product","__NounName","SafeHandle","Handle","BasePriority","ExitCode","HasExited","StartTime","ExitTime","Id","MachineName","MaxWorkingSet","MinWorkingSet","Modules","NonpagedSystemMemorySize64","NonpagedSystemMemorySize","PagedMemorySize64","PagedMemorySize","PagedSystemMemorySize64","PagedSystemMemorySize","PeakPagedMemorySize64","PeakPagedMemorySize","PeakWorkingSet64","PeakWorkingSet","PeakVirtualMemorySize64","PeakVirtualMemorySize","PriorityBoostEnabled","PriorityClass","PrivateMemorySize64","PrivateMemorySize","ProcessorAffinity","SessionId","StartInfo","Threads","HandleCount","VirtualMemorySize64","VirtualMemorySize","EnableRaisingEvents","StandardInput","StandardOutput","StandardError","WorkingSet64","WorkingSet","SynchronizingObject","MainModule","MainWindowHandle","MainWindowTitle","Responding","ProcessName","PrivilegedProcessorTime","TotalProcessorTime","UserProcessorTime","Site","Container"
"hidd","369","0","0","0","0","0","/usr/libexec/hidd","",,,,,,,,"Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","10108","0",,"False",,,"369",".",,,"System.Diagnostics.ProcessModuleCollection","0","0","0","0","0","0","0","0","0","0","0","0","False","Normal","0","0",,"369",,"System.Diagnostics.ProcessThreadCollection","0","0","0","False",,,,"0","0",,"System.Diagnostics.ProcessModule (hidd)","0","","True","hidd",,,,,
"GSSCred","494","0","0","0","0","0","/System/Library/Frameworks/GSS.framework/Helpers/GSSCred","",,,,,,,,"Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","10072","0",,"False",,,"494",".",,,"System.Diagnostics.ProcessModuleCollection","0","0","0","0","0","0","0","0","0","0","0","0","False","Normal","0","0",,"494",,"System.Diagnostics.ProcessThreadCollection","0","0","0","False",,,,"0","0",,"System.Diagnostics.ProcessModule (GSSCred)","0","","True","GSSCred",,,,,
"griddatad","8775","0","0","0","0","0","/usr/libexec/griddatad","",,,,,,,,"Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","12200","0",,"False",,,"8775",".",,,"System.Diagnostics.ProcessModuleCollection","0","0","0","0","0","0","0","0","0","0","0","0","False","Normal","0","0",,"8775",,"System.Diagnostics.ProcessThreadCollection","0","0","0","False",,,,"0","0",,"System.Diagnostics.ProcessModule (griddatad)","0","","True","griddatad",,,,,
"InteractiveLegacyProfilesSubscriber","1344","0","0","0","0","0","/System/Library/PrivateFrameworks/RemoteManagement.framework/XPCServices/InteractiveLegacyProfilesSubscriber.xpc/Contents/MacOS/InteractiveLegacyProfilesSubscriber","",,,,,,,,"Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","10000","0",,"False",,,"1344",".",,,"System.Diagnostics.ProcessModuleCollection","0","0","0","0","0","0","0","0","0","0","0","0","False","Normal","0","0",,"1344",,"System.Diagnostics.ProcessThreadCollection","0","0","0","False",,,,"0","0",,"System.Diagnostics.ProcessModule (InteractiveLegacyProfilesSubscriber)","0","","True","InteractiveLegacyProfilesSubscriber",,,,,
"logd","102","0","0","0","0","0","/usr/libexec/logd","",,,,,,,,"Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","9968","0",,"False",,,"102",".",,,"System.Diagnostics.ProcessModuleCollection","0","0","0","0","0","0","0","0","0","0","0","0","False","Normal","0","0",,"102",,"System.Diagnostics.ProcessThreadCollection","0","0","0","False",,,,"0","0",,"System.Diagnostics.ProcessModule (logd)","0","","True","logd",,,,,
"logd_helper","335","0","0","0","0","0","/usr/libexec/logd_helper","",,,,,,,,"Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","9936","0",,"False",,,"335",".",,,"System.Diagnostics.ProcessModuleCollection","0","0","0","0","0","0","0","0","0","0","0","0","False","Normal","0","0",,"335",,"System.Diagnostics.ProcessThreadCollection","0","0","0","False",,,,"0","0",,"System.Diagnostics.ProcessModule (logd_helper)","0","","True","logd_helper",,,,,
"login","10037","0","0","0","0","0","/usr/bin/login","",,,,,,,,"Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","9908","0",,"False",,,"10037",".",,,"System.Diagnostics.ProcessModuleCollection","0","0","0","0","0","0","0","0","0","0","0","0","False","Normal","0","0",,"10037",,"System.Diagnostics.ProcessThreadCollection","0","0","0","False",,,,"0","0",,"System.Diagnostics.ProcessModule (login)","0","","True","login",,,,,
"multiversed","209","0","0","0","0","0","/usr/libexec/multiversed","",,,,,,,,"Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","9880","0",,"False",,,"209",".",,,"System.Diagnostics.ProcessModuleCollection","0","0","0","0","0","0","0","0","0","0","0","0","False","Normal","0","0",,"209",,"System.Diagnostics.ProcessThreadCollection","0","0","0","False",,,,"0","0",,"System.Diagnostics.ProcessModule (multiversed)","0","","True","multiversed",,,,,
"MTLCompilerService","9563","0","0","0","0","0","/System/Library/Frameworks/Metal.framework/Versions/A/XPCServices/MTLCompilerService.xpc/Contents/MacOS/MTLCompilerService","",,,,,,,,"Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","12152","0",,"False",,,"9563",".",,,"System.Diagnostics.ProcessModuleCollection","0","0","0","0","0","0","0","0","0","0","0","0","False","Normal","0","0",,"9563",,"System.Diagnostics.ProcessThreadCollection","0","0","0","False",,,,"0","0",,"System.Diagnostics.ProcessModule (MTLCompilerService)","0","","True","MTLCompilerService",,,,,
"MTLCompilerService","6156","0","0","0","0","0","/System/Library/Frameworks/Metal.framework/Versions/A/XPCServices/MTLCompilerService.xpc/Contents/MacOS/MTLCompilerService","",,,,,,,,"Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","9816","0",,"False",,,"6156",".",,,"System.Diagnostics.ProcessModuleCollection","0","0","0","0","0","0","0","0","0","0","0","0","False","Normal","0","0",,"6156",,"System.Diagnostics.ProcessThreadCollection","0","0","0","False",,,,"0","0",,"System.Diagnostics.ProcessModule (MTLCompilerService)","0","","True","MTLCompilerService",,,,,
"MTLCompilerService","6155","0","0","0","0","0","/System/Library/Frameworks/Metal.framework/Versions/A/XPCServices/MTLCompilerService.xpc/Contents/MacOS/MTLCompilerService","",,,,,,,,"Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","12128","0",,"False",,,"6155",".",,,"System.Diagnostics.ProcessModuleCollection","0","0","0","0","0","0","0","0","0","0","0","0","False","Normal","0","0",,"6155",,"System.Diagnostics.ProcessThreadCollection","0","0","0","False",,,,"0","0",,"System.Diagnostics.ProcessModule (MTLCompilerService)","0","","True","MTLCompilerService",,,,,
"MTLCompilerService","6055","0","0","0","0","0","/System/Library/Frameworks/Metal.framework/Versions/A/XPCServices/MTLCompilerService.xpc/Contents/MacOS/MTLCompilerService","",,,,,,,,"Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","5416","0",,"False",,,"6055",".",,,"System.Diagnostics.ProcessModuleCollection","0","0","0","0","0","0","0","0","0","0","0","0","False","Normal","0","0",,"6055",,"System.Diagnostics.ProcessThreadCollection","0","0","0","False",,,,"0","0",,"System.Diagnostics.ProcessModule (MTLCompilerService)","0","","True","MTLCompilerService",,,,,
"modelmanagerd","1739","0","0","0","0","0","/usr/libexec/modelmanagerd","",,,,,,,,"Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","9712","0",,"False",,,"1739",".",,,"System.Diagnostics.ProcessModuleCollection","0","0","0","0","0","0","0","0","0","0","0","0","False","Normal","0","0",,"1739",,"System.Diagnostics.ProcessThreadCollection","0","0","0","False",,,,"0","0",,"System.Diagnostics.ProcessModule (modelmanagerd)","0","","True","modelmanagerd",,,,,
"modelcatalogd","820","0","0","0","0","0","/System/Library/PrivateFrameworks/ModelCatalogRuntime.framework/Versions/A/modelcatalogd","",,,,,,,,"Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","9680","0",,"False",,,"820",".",,,"System.Diagnostics.ProcessModuleCollection","0","0","0","0","0","0","0","0","0","0","0","0","False","Normal","0","0",,"820",,"System.Diagnostics.ProcessThreadCollection","0","0","0","False",,,,"0","0",,"System.Diagnostics.ProcessModule (modelcatalogd)","0","","True","modelcatalogd",,,,,
"mobileassetd","206","0","0","0","0","0","/usr/libexec/mobileassetd","",,,,,,,,"Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","9648","0",,"False",,,"206",".",,,"System.Diagnostics.ProcessModuleCollection","0","0","0","0","0","0","0","0","0","0","0","0","False","Normal","0","0",,"206",,"System.Diagnostics.ProcessThreadCollection","0","0","0","False",,,,"0","0",,"System.Diagnostics.ProcessModule (mobileassetd)","0","","True","mobileassetd",,,,,
"mobileactivationd","505","0","0","0","0","0","/usr/libexec/mobileactivationd","",,,,,,,,"Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","9616","0",,"False",,,"505",".",,,"System.Diagnostics.ProcessModuleCollection","0","0","0","0","0","0","0","0","0","0","0","0","False","Normal","0","0",,"505",,"System.Diagnostics.ProcessThreadCollection","0","0","0","False",,,,"0","0",,"System.Diagnostics.ProcessModule (mobileactivationd)","0","","True","mobileactivationd",,,,,
