"Name","SI","Handles","VM","WS","PM","NPM","Path","CommandLine","Parent","Company","CPU","FileVersion","ProductVersion","Description","Product","__NounName","SafeHandle","Handle","BasePriority","ExitCode","HasExited","StartTime","ExitTime","Id","MachineName","MaxWorkingSet","MinWorkingSet","Modules","NonpagedSystemMemorySize64","NonpagedSystemMemorySize","PagedMemorySize64","PagedMemorySize","PagedSystemMemorySize64","PagedSystemMemorySize","PeakPagedMemorySize64","PeakPagedMemorySize","PeakWorkingSet64","PeakWorkingSet","PeakVirtualMemorySize64","PeakVirtualMemorySize","PriorityBoostEnabled","PriorityClass","PrivateMemorySize64","PrivateMemorySize","ProcessorAffinity","SessionId","StartInfo","Threads","HandleCount","VirtualMemorySize64","VirtualMemorySize","EnableRaisingEvents","StandardInput","StandardOutput","StandardError","WorkingSet64","WorkingSet","SynchronizingObject","MainModule","MainWindowHandle","MainWindowTitle","Responding","ProcessName","PrivilegedProcessorTime","TotalProcessorTime","UserProcessorTime","Site","Container"
"IMAutomaticHistoryDeletionAgent","1","0","34643222528","7737344","0","0","/System/Library/PrivateFrameworks/IMDPersistence.framework/IMAutomaticHistoryDeletionAgent.app/Contents/MacOS/IMAutomaticHistoryDeletionAgent","",,,"0.1186188",,,,,"Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","5860","0",,"False","09/09/2025 2:09:11 PM",,"9641",".",,,"System.Diagnostics.ProcessModuleCollection","0","0","0","0","0","0","0","0","0","0","0","0","False","Normal","0","0",,"1",,"System.Diagnostics.ProcessThreadCollection","0","34643222528","283484160","False",,,,"7737344","7737344",,"System.Diagnostics.ProcessModule (IMAutomaticHistoryDeletionAgent)","0","","True","IMAutomaticHistoryDeletionAgent","00:00:00.0607209","00:00:00.1186188","00:00:00.0578978",,
"MacinTalkAUSP","1318","0","34631143424","8192","0","0","/System/Library/PrivateFrameworks/MacinTalk.framework/Versions/A/PlugIns/MacinTalkAUSP.appex/Contents/MacOS/MacinTalkAUSP","",,,"0.1224023",,,,,"Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","3072","0",,"False","08/09/2025 6:32:18 PM",,"1318",".",,,"System.Diagnostics.ProcessModuleCollection","0","0","0","0","0","0","0","0","0","0","0","0","False","Normal","0","0",,"1318",,"System.Diagnostics.ProcessThreadCollection","0","34631143424","271405056","False",,,,"8192","8192",,"System.Diagnostics.ProcessModule (MacinTalkAUSP)","0","","True","MacinTalkAUSP","00:00:00.0366984","00:00:00.1224023","00:00:00.0857039",,
"sirittsd","1","0","34644037632","5107712","0","0","/System/Library/PrivateFrameworks/SiriTTSService.framework/sirittsd","",,,"0.1236243",,,,,"Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","8112","0",,"False","09/09/2025 1:20:23 PM",,"8823",".",,,"System.Diagnostics.ProcessModuleCollection","0","0","0","0","0","0","0","0","0","0","0","0","False","Normal","0","0",,"1",,"System.Diagnostics.ProcessThreadCollection","0","34644037632","284299264","False",,,,"5107712","5107712",,"System.Diagnostics.ProcessModule (sirittsd)","0","","True","sirittsd","00:00:00.0409326","00:00:00.1236243","00:00:00.0826917",,
"QuickLookSatellite","11539","0","34599542784","14458880","0","0","/System/Library/Frameworks/QuickLook.framework/Versions/A/XPCServices/QuickLookSatellite.xpc/Contents/MacOS/QuickLookSatellite","",,,"0.1253724",,,,,"Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","8140","0",,"False","09/09/2025 6:02:24 PM",,"11539",".",,,"System.Diagnostics.ProcessModuleCollection","0","0","0","0","0","0","0","0","0","0","0","0","False","Normal","0","0",,"11539",,"System.Diagnostics.ProcessThreadCollection","0","34599542784","239804416","False",,,,"14458880","14458880",,"System.Diagnostics.ProcessModule (QuickLookSatellite)","0","","True","QuickLookSatellite","00:00:00.0410882","00:00:00.1253724","00:00:00.0842841",,
"com.apple.WebKit.GPU","11543","0","39349665792","20140032","0","0","/System/Volumes/Preboot/Cryptexes/OS/System/Library/Frameworks/WebKit.framework/Versions/A/XPCServices/com.apple.WebKit.GPU.xpc/Contents/MacOS/com.apple.WebKit.GPU","",,,"0.1276825",,,,,"Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","3212","0",,"False","09/09/2025 6:02:34 PM",,"11543",".",,,"System.Diagnostics.ProcessModuleCollection","0","0","0","0","0","0","0","0","0","0","0","0","False","Normal","0","0",,"11543",,"System.Diagnostics.ProcessThreadCollection","0","39349665792","694960128","False",,,,"20140032","20140032",,"System.Diagnostics.ProcessModule (com.apple.WebKit.GPU)","0","","True","com.apple.WebKit.GPU","00:00:00.0648134","00:00:00.1276825","00:00:00.0628691",,
"RemoteManagementAgent","1","0","34611994624","5083136","0","0","/System/Library/PrivateFrameworks/RemoteManagement.framework/RemoteManagementAgent","",,,"0.1283809",,,,,"Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","4888","0",,"False","09/09/2025 1:21:20 PM",,"8830",".",,,"System.Diagnostics.ProcessModuleCollection","0","0","0","0","0","0","0","0","0","0","0","0","False","Normal","0","0",,"1",,"System.Diagnostics.ProcessThreadCollection","0","34611994624","252256256","False",,,,"5083136","5083136",,"System.Diagnostics.ProcessModule (RemoteManagementAgent)","0","","True","RemoteManagementAgent","00:00:00.0648001","00:00:00.1283809","00:00:00.0635808",,
"com.apple.CloudPhotosConfiguration","1","0","34643976192","9084928","0","0","/System/Library/PrivateFrameworks/CloudPhotoServices.framework/Versions/A/XPCServices/com.apple.CloudPhotosConfiguration.xpc/Contents/MacOS/com.apple.CloudPhotosConfiguration","",,,"0.1345445",,,,,"Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","5820","0",,"False","09/09/2025 12:29:25 PM",,"6147",".",,,"System.Diagnostics.ProcessModuleCollection","0","0","0","0","0","0","0","0","0","0","0","0","False","Normal","0","0",,"1",,"System.Diagnostics.ProcessThreadCollection","0","34643976192","284237824","False",,,,"9084928","9084928",,"System.Diagnostics.ProcessModule (com.apple.CloudPhotosConfiguration)","0","","True","com.apple.CloudPhotosConfiguration","00:00:00.0518922","00:00:00.1345445","00:00:00.0826522",,
"ctkd","1","0","34643353600","2080768","0","0","/System/Library/Frameworks/CryptoTokenKit.framework/ctkd","",,,"0.1403404",,,,,"Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","2800","0",,"False","08/09/2025 6:30:52 PM",,"570",".",,,"System.Diagnostics.ProcessModuleCollection","0","0","0","0","0","0","0","0","0","0","0","0","False","Normal","0","0",,"1",,"System.Diagnostics.ProcessThreadCollection","0","34643353600","283615232","False",,,,"2080768","2080768",,"System.Diagnostics.ProcessModule (ctkd)","0","","True","ctkd","00:00:00.0523448","00:00:00.1403404","00:00:00.0879955",,
"MauiAUSP","1311","0","34657411072","8192","0","0","/System/Library/PrivateFrameworks/TextToSpeechMauiSupport.framework/Versions/A/PlugIns/MauiAUSP.appex/Contents/MacOS/MauiAUSP","",,,"0.1418319",,,,,"Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","3444","0",,"False","08/09/2025 6:32:18 PM",,"1311",".",,,"System.Diagnostics.ProcessModuleCollection","0","0","0","0","0","0","0","0","0","0","0","0","False","Normal","0","0",,"1311",,"System.Diagnostics.ProcessThreadCollection","0","34657411072","297672704","False",,,,"8192","8192",,"System.Diagnostics.ProcessModule (MauiAUSP)","0","","True","MauiAUSP","00:00:00.0426857","00:00:00.1418319","00:00:00.0991462",,
"zsh","10037","0","35025285120","2486272","0","0","/bin/zsh","",,,"0.1475665",,,,,"Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","8152","0",,"False","09/09/2025 2:56:00 PM",,"10038",".",,,"System.Diagnostics.ProcessModuleCollection","0","0","0","0","0","0","0","0","0","0","0","0","False","Normal","0","0",,"10037",,"System.Diagnostics.ProcessThreadCollection","0","35025285120","665546752","False",,,,"2486272","2486272",,"System.Diagnostics.ProcessModule (zsh)","0","","True","zsh","00:00:00.0835522","00:00:00.1475665","00:00:00.0640143",,
"AMPDeviceDiscoveryAgent","1","0","34655703040","1908736","0","0","/System/Library/PrivateFrameworks/AMPDevices.framework/Versions/A/Support/AMPDeviceDiscoveryAgent","",,,"0.1504428",,,,,"Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","5048","0",,"False","08/09/2025 6:30:54 PM",,"628",".",,,"System.Diagnostics.ProcessModuleCollection","0","0","0","0","0","0","0","0","0","0","0","0","False","Normal","0","0",,"1",,"System.Diagnostics.ProcessThreadCollection","0","34655703040","295964672","False",,,,"1908736","1908736",,"System.Diagnostics.ProcessModule (AMPDeviceDiscoveryAgent)","0","","True","AMPDeviceDiscoveryAgent","00:00:00.0788852","00:00:00.1504428","00:00:00.0715576",,
"MessagesActionExtension","1117","0","34655039488","8192","0","0","/System/Applications/Messages.app/Contents/Extensions/MessagesActionExtension.appex/Contents/MacOS/MessagesActionExtension","",,,"0.1528716",,,,,"Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","5072","0",,"False","08/09/2025 6:31:32 PM",,"1117",".",,,"System.Diagnostics.ProcessModuleCollection","0","0","0","0","0","0","0","0","0","0","0","0","False","Normal","0","0",,"1117",,"System.Diagnostics.ProcessThreadCollection","0","34655039488","295301120","False",,,,"8192","8192",,"System.Diagnostics.ProcessModule (MessagesActionExtension)","0","","True","MessagesActionExtension","00:00:00.0741147","00:00:00.1528716","00:00:00.0787568",,
"SafariLaunchAgent","1","0","34645069824","585728","0","0","/System/Volumes/Preboot/Cryptexes/App/usr/libexec/SafariLaunchAgent","",,,"0.1532713",,,,,"Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","5156","0",,"False","08/09/2025 6:31:06 PM",,"777",".",,,"System.Diagnostics.ProcessModuleCollection","0","0","0","0","0","0","0","0","0","0","0","0","False","Normal","0","0",,"1",,"System.Diagnostics.ProcessThreadCollection","0","34645069824","285331456","False",,,,"585728","585728",,"System.Diagnostics.ProcessModule (SafariLaunchAgent)","0","","True","SafariLaunchAgent","00:00:00.0785225","00:00:00.1532713","00:00:00.0747487",,
"keyboardservicesd","1","0","34648059904","3571712","0","0","/usr/libexec/keyboardservicesd","",,,"0.1621604",,,,,"Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","5184","0",,"False","08/09/2025 6:31:01 PM",,"709",".",,,"System.Diagnostics.ProcessModuleCollection","0","0","0","0","0","0","0","0","0","0","0","0","False","Normal","0","0",,"1",,"System.Diagnostics.ProcessThreadCollection","0","34648059904","288321536","False",,,,"3571712","3571712",,"System.Diagnostics.ProcessModule (keyboardservicesd)","0","","True","keyboardservicesd","00:00:00.0807789","00:00:00.1621604","00:00:00.0813814",,
